sofifa_id,nationality,club_name,league_name
254044,Uruguay,Club Plaza Colonia,Uruguayan Primera División
254283,Sweden,Varbergs BoIS,Swedish Allsvenskan
254350,Ecuador,El Nacional,Ecuadorian Serie A
254401,Peru,Cusco FC,Peruvian Primera División
254584,Venezuela,Zamora FC,Venezuelan Primera División
254610,Venezuela,Llaneros de Guanare,Venezuelan Primera División
254663,Venezuela,Zamora FC,Venezuelan Primera División
254664,Venezuela,Zamora FC,Venezuelan Primera División
254726,Paraguay,River Plate Asunción,Paraguayan Primera División
255026,Argentina,Sport Huancayo,Peruvian Primera División
255060,Colombia,Alianza Lima,Peruvian Primera División
255201,Peru,Cusco FC,Peruvian Primera División
255203,Peru,Cusco FC,Peruvian Primera División
255492,Serbia,HJK Helsinki,Finnish Veikkausliiga
255581,Japan,Yokohama FC,Japanese J. League Division 1
255595,Japan,Yokohama FC,Japanese J. League Division 1
255880,Uruguay,Liverpool Fútbol Club,Uruguayan Primera División
256973,Moldova,FC Vaduz,Swiss Super League
257645,Poland,Warta Poznań,Polish T-Mobile Ekstraklasa
257653,Argentina,Central Córdoba,Argentina Primera División
257728,Romania,FC Argeș,Romanian Liga I
258645,Czech Republic,Stal Mielec,Polish T-Mobile Ekstraklasa
251752,France,LOSC Lille,French Ligue 1
256831,England,Tottenham Hotspur,English Premier League
241552,Australia,Borussia Mönchengladbach,German 1. Bundesliga
246002,England,Wolverhampton Wanderers,English Premier League
252793,England,Manchester City,English Premier League
254578,Argentina,Estudiantes de La Plata,Argentina Primera División
254905,United States,Burton Albion,English League One
246053,England,Leeds United,English Premier League
254529,England,Leeds United,English Premier League
255142,Uruguay,Nacional de Montevideo,Uruguayan Primera División
255218,Mexico,Club Tijuana,Mexican Liga MX
256790,England,Bayern München II,German 3. Bundesliga
256853,Germany,Bayern München II,German 3. Bundesliga
256918,Portugal,CD Tondela,Portuguese Liga ZON SAGRES
251617,Sweden,Helsingborgs IF,Swedish Allsvenskan
253715,Argentina,Estudiantes de La Plata,Argentina Primera División
